Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Age of the establishment (years),Proportion of private domestic ownership in a firm (%),Proportion of private foreign ownership in a firm (%),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of government/state ownership in a firm (%),Proportion of a firm held by the largest owner(s) (%),Percent of firms with legal status of Sole Proprietorship,Percent of firms with legal status of publicly listed company,Percent of firms with an internationally-recognized quality certification,Percent of firms with an annual financial statement reviewed by external auditors ,Percent of firms with legal status of privately held Limited Liability Company ,Percent of firms with legal status of Partnership,Percent of firms with legal status of Limited Partnership
Chile,2006,Size,,Medium (20-99),Average,21.0,97.9,...,3.1,0.0,...,...,6.7,...,16.2,43.8,...,...,...
Chile,2006,Size,,Small (5-19),Average,18.5,87.8,...,13.3,0.0,...,...,26.0,...,10.8,28.3,...,...,...
Chile,2006,Size,,Large (100+),Average,42.1,94.6,...,5.2,0.0,...,...,0.3,...,58.3,86.0,...,...,...
Chile,2006,Location,,Antofagasta,Average,21.9,94.8,...,10.7,0.0,...,...,28.7,...,46.3,39.6,...,...,...
Chile,2006,Location,,Bío Bío,Average,22.4,98.2,...,2.2,0.0,...,...,34.9,...,25.6,34.9,...,...,...
Chile,2006,Location,,Los Lagos,Average,19.0,89.0,...,11.0,0.0,...,...,7.5,...,18.4,63.2,...,...,...
Chile,2006,Location,,Santiago,Average,25.8,90.9,...,9.8,0.0,...,...,9.7,...,22.0,47.2,...,...,...
Chile,2006,Location,,Valparaíso,Average,23.0,96.7,...,3.5,0.0,...,...,22.2,...,10.7,50.1,...,...,...
Chile,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,30.7,88.9,...,12.5,0.0,...,...,0.2,...,42.7,71.3,...,...,...
Chile,2006,Exporter Type,,Non-exporter,Average,24.4,92.5,...,8.1,0.0,...,...,15.0,...,20.9,45.3,...,...,...
Chile,2006,Ownership Type,,Domestic,Average,25.8,99.6,...,0.0,0.0,...,...,15.6,...,22.6,46.5,...,...,...
Chile,2006,Ownership Type,,10% or more foreign ownership,Average,12.7,12.6,...,100.0,0.0,...,...,0.3,...,15.6,46.9,...,...,...
Chile,2010,,,,Average,24.7,92.9,...,8.5,0.5,...,...,18.0,...,22.1,56.3,...,...,...
Chile,2010,Sector,Manufacturing,All,Average,28.2,90.9,...,10.6,0.2,...,...,14.9,...,27.6,53.3,...,...,...
Chile,2010,Sector,Manufacturing,Food,Average,31.1,93.5,...,7.2,0.0,...,...,26.0,...,32.7,42.4,...,...,...
Chile,2010,Sector,Manufacturing,Textiles & Garments,Average,28.6,93.5,...,7.3,0.0,...,...,25.1,...,11.3,38.6,...,...,...
Chile,2010,Sector,Manufacturing,"Chemicals, Plastics & Rubber",Average,32.1,82.1,...,22.1,1.5,...,...,8.7,...,55.2,58.6,...,...,...
Chile,2010,Sector,Manufacturing,Basic Metals/Fabricated Metals/Machinery & Equip.,Average,29.3,87.3,...,13.0,0.0,...,...,15.1,...,42.9,47.7,...,...,...
Chile,2010,Sector,Manufacturing,Other Manufacturing,Average,24.0,93.1,...,8.7,0.0,...,...,5.2,...,12.0,67.5,...,...,...
Chile,2010,Sector,Services,All,Average,23.3,93.7,...,7.7,0.6,...,...,19.1,...,20.0,57.5,...,...,...
Chile,2010,Sector,Services,Retail,Average,25.3,97.5,...,2.6,0.0,...,...,28.9,...,5.5,60.3,...,...,...
Chile,2010,Sector,Services,Other Services,Average,22.3,91.5,...,10.6,0.9,...,...,13.7,...,28.3,55.8,...,...,...
Chile,2010,Size,,Medium (20-99),Average,23.4,96.4,...,4.5,0.0,...,...,10.1,...,17.9,56.4,...,...,...
Chile,2010,Size,,Large (100+),Average,27.0,81.2,...,22.5,1.7,...,...,1.1,...,50.4,83.6,...,...,...
Chile,2010,Size,,Small (5-19),Average,24.3,99.2,...,0.9,0.0,...,...,44.3,...,1.6,30.5,...,...,...
Chile,2010,Location,,Antofagasta,Average,18.8,99.1,...,1.3,0.0,...,...,41.2,...,29.6,56.6,...,...,...
Chile,2010,Location,,Los Lagos,Average,25.2,95.7,...,4.4,0.0,...,...,26.0,...,18.6,36.3,...,...,...
Chile,2010,Location,,Santiago,Average,23.7,91.3,...,9.8,0.6,...,...,13.5,...,21.7,59.9,...,...,...
Chile,2010,Location,,Valparaiso,Average,43.6,94.8,...,12.3,0.0,...,...,11.8,...,13.8,33.3,...,...,...
Chile,2010,Exporter Type,,Direct exports are 10% or more of sales,Average,26.1,86.5,...,16.7,0.6,...,...,2.2,...,87.3,88.7,...,...,...
Chile,2010,Exporter Type,,Non-exporter,Average,24.6,93.5,...,7.8,0.5,...,...,19.4,...,16.0,53.3,...,...,...
Chile,2010,Gender of Top Manager,,Top manager is female,Average,37.4,97.4,...,3.2,0.0,...,...,43.1,...,16.5,48.5,...,...,...
Chile,2010,Gender of Top Manager,,Top manager is male,Average,24.1,92.7,...,8.8,0.5,...,...,16.8,...,22.4,56.7,...,...,...
Chile,2010,Ownership Type,,Domestic,Average,24.3,100.0,...,0.0,0.0,...,...,19.5,...,19.9,55.9,...,...,...
Chile,2010,Ownership Type,,10% or more foreign ownership,Average,29.4,17.0,...,100.0,5.5,...,...,1.0,...,45.2,60.4,...,...,...
China,2012,,,,Average,11.3,91.6,...,4.3,3.1,...,...,50.8,...,53.4,63.3,...,...,...
China,2012,Sector,Manufacturing,All,Average,12.4,90.5,...,5.8,3.8,...,...,46.5,...,61.1,65.5,...,...,...
China,2012,Sector,Manufacturing,Food,Average,12.6,86.3,...,10.5,6.6,...,...,64.2,...,55.7,58.5,...,...,...
China,2012,Sector,Manufacturing,Textiles,Average,12.6,93.1,...,5.8,3.0,...,...,62.2,...,55.4,57.8,...,...,...
China,2012,Sector,Manufacturing,Garments,Average,12.3,87.2,...,9.0,4.8,...,...,38.6,...,56.3,64.3,...,...,...
China,2012,Sector,Manufacturing,Chemicals & Chemical Products,Average,15.4,93.7,...,6.0,4.4,...,...,56.3,...,49.7,50.0,...,...,...
China,2012,Sector,Manufacturing,Rubber & Plastics Products,Average,13.0,93.3,...,5.5,1.9,...,...,44.6,...,59.3,62.6,...,...,...
China,2012,Sector,Manufacturing,Non-Metallic Mineral Products,Average,13.7,87.5,...,10.0,4.8,...,...,50.1,...,61.1,66.2,...,...,...
China,2012,Sector,Manufacturing,Fabricated Metal Products,Average,12.0,88.0,...,11.6,0.9,...,...,63.2,...,68.9,63.7,...,...,...
China,2012,Sector,Manufacturing,Machinery & Equipment,Average,11.0,93.1,...,3.1,2.4,...,...,38.5,...,62.2,84.3,...,...,...
China,2012,Sector,Manufacturing,Basic Metals & Metal Products,Average,11.8,94.1,...,5.4,0.5,...,...,42.5,...,66.8,66.8,...,...,...
China,2012,Sector,Manufacturing,Electronics & Communications Equip.,Average,12.4,94.4,...,3.5,3.7,...,...,42.6,...,77.4,60.1,...,...,...
China,2012,Sector,Manufacturing,Motor Vehicles,Average,13.3,83.5,...,12.3,4.6,...,...,28.4,...,84.0,67.8,...,...,...
China,2012,Sector,Manufacturing,Other Manufacturing,Average,12.1,85.6,...,5.3,6.1,...,...,48.0,...,54.3,61.0,...,...,...
China,2012,Sector,Services,All,Average,10.2,92.8,...,2.7,2.4,...,...,55.3,...,45.4,61.1,...,...,...
China,2012,Sector,Services,Construction,Average,12.2,98.4,...,0.9,0.7,...,...,48.6,...,42.0,76.4,...,...,...
China,2012,Sector,Services,Services of Motor Vehicles,Average,10.4,92.2,...,1.3,0.8,...,...,59.9,...,52.1,50.2,...,...,...
China,2012,Sector,Services,Wholesale,Average,9.5,94.8,...,3.2,2.2,...,...,53.2,...,45.1,71.9,...,...,...
China,2012,Sector,Services,Retail,Average,9.6,87.3,...,7.2,9.6,...,...,46.5,...,34.2,66.5,...,...,...
China,2012,Sector,Services,Hotels & Restaurants,Average,10.7,88.4,...,6.4,1.1,...,...,50.9,...,32.7,77.3,...,...,...
China,2012,Sector,Services,"Transport, Storage, & Communications",Average,12.0,93.0,...,1.9,7.0,...,...,43.7,...,41.6,62.7,...,...,...
China,2012,Sector,Services,IT & IT Services,Average,9.8,97.6,...,2.6,0.3,...,...,65.1,...,27.1,58.0,...,...,...
China,2012,Size,,Medium (20-99),Average,12.1,90.7,...,7.0,4.9,...,...,43.2,...,64.8,72.5,...,...,...
China,2012,Size,,Large (100+),Average,12.9,90.2,...,10.1,3.2,...,...,39.7,...,81.0,76.8,...,...,...
China,2012,Size,,Small (5-19),Average,10.5,92.4,...,1.3,2.0,...,...,57.8,...,40.4,54.9,...,...,...
China,2012,Location,,Beijing (Municipalities),Average,10.8,97.2,...,6.1,0.0,...,...,62.7,...,62.6,61.1,...,...,...
China,2012,Location,,Chengdu City,Average,12.0,95.1,...,1.5,4.3,...,...,78.8,...,44.7,91.3,...,...,...
China,2012,Location,,Dalian City,Average,11.7,92.9,...,9.5,0.7,...,...,65.3,...,38.4,75.2,...,...,...
China,2012,Location,,Dongguan City,Average,12.1,99.1,...,1.6,0.0,...,...,71.1,...,64.6,25.5,...,...,...
China,2012,Location,,Foshan City,Average,11.7,92.7,...,9.7,0.7,...,...,23.0,...,17.2,43.4,...,...,...
China,2012,Location,,Guangzhou City,Average,9.7,92.2,...,5.8,0.0,...,...,67.0,...,43.3,68.3,...,...,...
China,2012,Location,,Hangzhou City,Average,11.3,97.8,...,1.1,2.5,...,...,34.1,...,96.4,46.5,...,...,...
China,2012,Location,,Hefei City,Average,13.0,99.8,...,0.2,0.5,...,...,78.3,...,39.2,96.7,...,...,...
China,2012,Location,,Jinan City,Average,9.6,100.0,...,0.0,0.0,...,...,35.4,...,35.8,48.3,...,...,...
China,2012,Location,,Luoyang City,Average,14.5,97.7,...,2.9,0.4,...,...,35.9,...,43.5,33.9,...,...,...
China,2012,Location,,Nanjing City,Average,11.5,98.6,...,2.7,0.4,...,...,68.6,...,22.1,7.1,...,...,...
China,2012,Location,,Nantong City,Average,13.0,97.1,...,2.1,0.1,...,...,55.3,...,28.1,12.0,...,...,...
China,2012,Location,,Ningbo City,Average,12.4,99.3,...,2.1,0.0,...,...,4.3,...,71.6,79.4,...,...,...
China,2012,Location,,Qingdao City,Average,12.1,82.2,...,2.5,18.2,...,...,71.0,...,78.8,91.6,...,...,...
China,2012,Location,,Shanghai (Municipalities),Average,11.1,75.7,...,10.9,8.2,...,...,22.1,...,32.1,72.0,...,...,...
China,2012,Location,,Shenyang City,Average,12.1,77.8,...,0.4,18.8,...,...,39.4,...,77.5,88.8,...,...,...
China,2012,Location,,Shenzhen City,Average,9.0,94.9,...,2.5,3.9,...,...,78.0,...,77.9,92.7,...,...,...
China,2012,Location,,Shijiazhuang City,Average,10.4,91.9,...,5.3,3.4,...,...,41.1,...,35.2,81.2,...,...,...
China,2012,Location,,Suzhou City,Average,11.2,97.4,...,2.3,1.4,...,...,62.9,...,87.5,86.7,...,...,...
China,2012,Location,,Tangshan City,Average,9.9,99.6,...,0.5,0.0,...,...,73.0,...,33.6,54.6,...,...,...
China,2012,Location,,Wenzhou City,Average,11.1,87.3,...,0.0,0.2,...,...,0.6,...,50.5,58.8,...,...,...
China,2012,Location,,Wuhan City,Average,11.2,52.6,...,5.9,1.4,...,...,32.6,...,81.4,50.8,...,...,...
China,2012,Location,,Wuxi City,Average,13.6,94.0,...,4.7,2.9,...,...,70.6,...,78.9,94.7,...,...,...
China,2012,Location,,Yantai City,Average,12.2,91.5,...,12.7,1.4,...,...,67.5,...,25.9,41.2,...,...,...
China,2012,Location,,Zhengzhou City,Average,10.8,96.6,...,1.5,4.1,...,...,39.2,...,24.0,74.4,...,...,...
China,2012,Exporter Type,,Direct exports are 10% or more of sales,Average,12.1,84.0,...,18.3,0.7,...,...,47.8,...,77.5,74.4,...,...,...
China,2012,Exporter Type,,Non-exporter,Average,11.2,92.5,...,2.7,3.4,...,...,51.1,...,50.6,62.1,...,...,...
China,2012,Gender of Top Manager,,Top manager is female,Average,10.5,90.0,...,3.4,0.4,...,...,44.3,...,51.3,52.9,...,...,...
China,2012,Gender of Top Manager,,Top manager is male,Average,11.5,92.0,...,4.5,3.7,...,...,52.2,...,53.8,65.5,...,...,...
China,2012,Ownership Type,,Domestic,Average,11.3,94.3,...,0.0,3.2,...,...,51.4,...,53.0,63.2,...,...,...
China,2012,Ownership Type,,10% or more foreign ownership,Average,10.1,30.6,...,100.0,0.3,...,...,38.7,...,60.3,65.8,...,...,...
Côte d'Ivoire,2009,,,,Average,7.3,74.1,...,15.0,0.1,...,...,73.7,...,4.3,10.1,...,...,...
Côte d'Ivoire,2009,Sector,Manufacturing,All,Average,9.0,71.1,...,14.4,0.0,...,...,72.7,...,1.7,16.8,...,...,...
Côte d'Ivoire,2009,Sector,Manufacturing,Manufacturing,Average,9.0,71.1,...,14.4,0.0,...,...,72.7,...,1.7,16.8,...,...,...
Côte d'Ivoire,2009,Sector,Services,All,Average,6.6,75.1,...,15.2,0.1,...,...,74.0,...,5.2,7.8,...,...,...
Côte d'Ivoire,2009,Sector,Services,Retail,Average,6.2,78.2,...,15.3,0.0,...,...,80.5,...,1.5,6.9,...,...,...
Côte d'Ivoire,2009,Sector,Services,Other Services,Average,6.8,73.8,...,15.1,0.1,...,...,71.3,...,6.8,8.2,...,...,...
Côte d'Ivoire,2009,Size,,Small (5-19),Average,6.6,73.9,...,13.7,0.0,...,...,76.7,...,4.2,5.3,...,...,...
Côte d'Ivoire,2009,Size,,Medium (20-99),Average,8.9,83.0,...,15.0,0.0,...,...,64.8,...,2.5,30.8,...,...,...
Côte d'Ivoire,2009,Size,,Large (100+),Average,22.5,39.8,...,58.2,2.9,...,...,12.0,...,18.6,80.8,...,...,...
Côte d'Ivoire,2009,Location,,Abidjan,Average,7.2,73.7,...,12.8,0.1,...,...,80.0,...,1.8,10.4,...,...,...
Côte d'Ivoire,2009,Location,,San Pedro,Average,6.7,86.0,...,12.1,0.0,...,...,45.1,...,1.4,10.5,...,...,...
Côte d'Ivoire,2009,Location,,Yamoussoukro,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Côte d'Ivoire,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,14.0,62.8,...,23.7,3.4,...,...,10.2,...,22.7,74.4,...,...,...
Côte d'Ivoire,2009,Exporter Type,,Non-exporter,Average,7.1,74.4,...,14.8,0.0,...,...,75.1,...,3.8,8.6,...,...,...
Côte d'Ivoire,2009,Ownership Type,,Domestic,Average,6.8,85.6,...,0.0,0.0,...,...,76.9,...,1.2,8.0,...,...,...
Côte d'Ivoire,2009,Ownership Type,,10% or more foreign ownership,Average,10.2,8.4,...,100.0,0.5,...,...,55.2,...,22.7,22.2,...,...,...
Côte d'Ivoire,2016,,,,Average,17.0,63.9,...,28.9,1.0,...,...,57.5,...,5.6,37.7,...,...,...
Côte d'Ivoire,2016,Sector,Manufacturing,All,Average,19.7,77.1,...,20.5,1.2,...,...,63.1,...,10.2,32.8,...,...,...
Côte d'Ivoire,2016,Sector,Manufacturing,Manufacturing,Average,19.7,77.1,...,20.5,1.2,...,...,63.1,...,10.2,32.8,...,...,...
Côte d'Ivoire,2016,Sector,Services,All,Average,16.1,59.7,...,31.6,0.9,...,...,55.7,...,4.1,39.2,...,...,...
Côte d'Ivoire,2016,Sector,Services,Retail,Average,16.7,49.0,...,46.8,0.0,...,...,68.4,...,0.3,29.9,...,...,...
Côte d'Ivoire,2016,Sector,Services,Other Services,Average,15.7,67.4,...,20.8,1.6,...,...,46.9,...,6.8,45.9,...,...,...
Côte d'Ivoire,2016,Size,,Small (5-19),Average,15.3,66.3,...,28.0,0.0,...,...,71.9,...,2.0,23.6,...,...,...
Côte d'Ivoire,2016,Size,,Medium (20-99),Average,17.6,61.3,...,28.2,2.2,...,...,29.8,...,6.3,65.6,...,...,...
Côte d'Ivoire,2016,Size,,Large (100+),Average,30.6,49.8,...,40.1,6.3,...,...,10.2,...,41.0,84.0,...,...,...
Côte d'Ivoire,2016,Location,,Abidjan,Average,17.5,67.8,...,23.3,1.2,...,...,51.9,...,6.6,40.8,...,...,...
Côte d'Ivoire,2016,Location,,Rest of the country,Average,14.9,49.3,...,49.7,0.2,...,...,78.2,...,1.8,26.5,...,...,...
Côte d'Ivoire,2016,Exporter Type,,Direct exports are 10% or more of sales,Average,20.8,48.1,...,38.3,2.3,...,...,25.4,...,35.4,65.9,...,...,...
Côte d'Ivoire,2016,Exporter Type,,Non-exporter,Average,16.7,65.0,...,27.8,0.9,...,...,61.1,...,3.9,36.2,...,...,...
Côte d'Ivoire,2016,Gender of Top Manager,,Top manager is female,Average,17.8,88.0,...,8.9,0.0,...,...,69.5,...,0.0,36.0,...,...,...
Côte d'Ivoire,2016,Gender of Top Manager,,Top manager is male,Average,16.8,60.0,...,32.2,1.1,...,...,55.4,...,6.5,38.0,...,...,...
Côte d'Ivoire,2016,Ownership Type,,Domestic,Average,17.0,84.5,...,0.0,1.3,...,...,64.9,...,5.1,35.6,...,...,...
Côte d'Ivoire,2016,Ownership Type,,10% or more foreign ownership,Average,16.8,13.7,...,100.0,0.2,...,...,42.2,...,6.7,42.6,...,...,...
Cameroon,2009,,,,Average,16.4,87.6,...,11.6,1.6,...,...,68.7,...,20.4,68.3,...,...,...
Cameroon,2009,Sector,Manufacturing,All,Average,20.0,86.2,...,17.7,3.2,...,...,59.5,...,20.9,65.8,...,...,...
Cameroon,2009,Sector,Manufacturing,Manufacturing,Average,20.0,86.2,...,17.7,3.2,...,...,59.5,...,20.9,65.8,...,...,...
Cameroon,2009,Sector,Services,All,Average,15.4,88.0,...,9.8,1.1,...,...,71.5,...,20.2,69.0,...,...,...
Cameroon,2009,Sector,Services,Retail,Average,15.0,96.0,...,5.5,0.0,...,...,81.0,...,9.7,64.6,...,...,...
Cameroon,2009,Sector,Services,Other Services,Average,15.6,83.2,...,12.4,1.7,...,...,65.8,...,26.9,71.6,...,...,...
Cameroon,2009,Size,,Small (5-19),Average,13.4,93.0,...,5.4,0.8,...,...,79.6,...,9.1,61.6,...,...,...
Cameroon,2009,Size,,Medium (20-99),Average,18.1,84.1,...,14.0,1.8,...,...,60.9,...,31.6,78.1,...,...,...
Cameroon,2009,Size,,Large (100+),Average,28.7,66.8,...,40.3,5.0,...,...,29.3,...,58.0,79.3,...,...,...
Cameroon,2009,Location,,Central,Average,17.3,93.2,...,11.7,1.5,...,...,81.9,...,34.1,55.4,...,...,...
Cameroon,2009,Location,,Coastal,Average,15.7,84.2,...,12.4,1.7,...,...,62.7,...,15.2,74.4,...,...,...
Cameroon,2009,Location,,West,Average,20.7,98.2,...,2.8,0.0,...,...,73.9,...,11.5,60.7,...,...,...
Cameroon,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,22.5,66.3,...,48.7,11.5,...,...,12.4,...,63.5,74.5,...,...,...
Cameroon,2009,Exporter Type,,Non-exporter,Average,16.0,89.0,...,9.2,0.9,...,...,72.4,...,17.6,67.9,...,...,...
Cameroon,2009,Gender of Top Manager,,Top manager is female,Average,16.4,99.2,...,1.2,0.0,...,...,84.6,...,15.3,69.2,...,...,...
Cameroon,2009,Gender of Top Manager,,Top manager is male,Average,16.4,86.3,...,12.8,1.7,...,...,67.0,...,20.9,68.1,...,...,...
Cameroon,2009,Ownership Type,,Domestic,Average,15.3,95.3,...,0.0,1.2,...,...,73.9,...,15.9,66.3,...,...,...
Cameroon,2009,Ownership Type,,10% or more foreign ownership,Average,25.1,28.8,...,100.0,4.5,...,...,29.8,...,55.1,83.2,...,...,...
Cameroon,2016,,,,Average,20.8,83.7,...,7.8,1.7,...,...,80.8,...,7.7,56.4,...,...,...
Cameroon,2016,Sector,Manufacturing,All,Average,20.3,88.2,...,11.2,2.3,...,...,75.4,...,13.4,50.1,...,...,...
Cameroon,2016,Sector,Manufacturing,Manufacturing,Average,20.3,88.2,...,11.2,2.3,...,...,75.4,...,13.4,50.1,...,...,...
Cameroon,2016,Sector,Services,All,Average,21.0,81.6,...,6.3,1.5,...,...,83.1,...,5.1,59.4,...,...,...
Cameroon,2016,Sector,Services,Retail,Average,22.1,82.8,...,2.3,0.3,...,...,94.9,...,0.9,46.0,...,...,...
Cameroon,2016,Sector,Services,Other Services,Average,20.6,81.3,...,7.4,1.8,...,...,79.8,...,6.5,63.4,...,...,...
Cameroon,2016,Size,,Small (5-19),Average,19.8,82.5,...,8.2,0.1,...,...,87.4,...,4.9,48.4,...,...,...
Cameroon,2016,Size,,Medium (20-99),Average,21.6,87.3,...,2.3,7.1,...,...,64.6,...,17.1,79.9,...,...,...
Cameroon,2016,Size,,Large (100+),Average,28.9,86.3,...,18.9,4.8,...,...,51.5,...,20.2,84.7,...,...,...
Cameroon,2016,Location,,Center,Average,17.7,78.2,...,5.1,3.6,...,...,82.6,...,8.6,40.1,...,...,...
Cameroon,2016,Location,,Littoral,Average,23.8,88.9,...,10.5,0.1,...,...,79.3,...,7.9,70.7,...,...,...
Cameroon,2016,Location,,West,Average,17.4,81.0,...,4.9,1.0,...,...,78.3,...,0.0,56.7,...,...,...
Cameroon,2016,Exporter Type,,Direct exports are 10% or more of sales,Average,18.6,91.2,...,25.1,2.6,...,...,62.1,...,35.4,64.2,...,...,...
Cameroon,2016,Exporter Type,,Non-exporter,Average,20.8,82.7,...,6.2,1.7,...,...,82.3,...,4.5,55.6,...,...,...
Cameroon,2016,Gender of Top Manager,,Top manager is female,Average,18.3,89.0,...,0.5,0.2,...,...,89.4,...,0.2,58.4,...,...,...
Cameroon,2016,Gender of Top Manager,,Top manager is male,Average,21.5,82.1,...,9.9,2.2,...,...,78.2,...,9.5,55.8,...,...,...
Cameroon,2016,Ownership Type,,Domestic,Average,20.9,88.4,...,0.0,1.7,...,...,83.0,...,5.5,55.0,...,...,...
Cameroon,2016,Ownership Type,,10% or more foreign ownership,Average,19.5,27.3,...,100.0,2.2,...,...,55.2,...,29.0,72.7,...,...,...
"Congo, Rep.",2009,,,,Average,13.2,61.2,...,22.5,1.9,...,...,59.9,...,19.6,60.1,...,...,...
"Congo, Rep.",2009,Sector,Manufacturing,All,Average,15.1,61.5,...,22.1,2.0,...,...,62.0,...,19.7,62.1,...,...,...
"Congo, Rep.",2009,Sector,Manufacturing,Manufacturing,Average,15.1,61.5,...,22.1,2.0,...,...,62.0,...,19.7,62.1,...,...,...
"Congo, Rep.",2009,Sector,Services,All,Average,12.9,61.2,...,22.5,1.8,...,...,59.4,...,19.6,59.7,...,...,...
"Congo, Rep.",2009,Sector,Services,Services,Average,12.9,61.2,...,22.5,1.8,...,...,59.4,...,19.6,59.7,...,...,...
"Congo, Rep.",2009,Size,,Small (5-19),Average,9.8,65.9,...,10.3,0.6,...,...,72.2,...,10.2,51.8,...,...,...
"Congo, Rep.",2009,Size,,Medium (20-99),Average,17.6,60.9,...,34.3,3.1,...,...,46.1,...,26.8,69.1,...,...,...
"Congo, Rep.",2009,Size,,Large (100+),Average,20.7,30.7,...,60.2,6.0,...,...,27.9,...,69.8,79.6,...,...,...
"Congo, Rep.",2009,Location,,Brazzaville,Average,14.4,49.3,...,25.1,4.3,...,...,56.2,...,18.2,62.4,...,...,...
"Congo, Rep.",2009,Location,,Pointe-Noire,Average,12.3,70.3,...,20.5,0.0,...,...,62.7,...,20.7,58.3,...,...,...
"Congo, Rep.",2009,Exporter Type,,Direct exports are 10% or more of sales,Average,24.8,40.3,...,53.3,6.7,...,...,49.9,...,66.6,70.0,...,...,...
"Congo, Rep.",2009,Exporter Type,,Non-exporter,Average,12.8,63.1,...,20.5,1.7,...,...,62.7,...,15.8,58.1,...,...,...
"Congo, Rep.",2009,Gender of Top Manager,,Top manager is female,Average,16.6,45.3,...,33.9,11.3,...,...,64.4,...,5.7,74.6,...,...,...
"Congo, Rep.",2009,Gender of Top Manager,,Top manager is male,Average,17.2,58.3,...,32.4,0.7,...,...,43.9,...,33.0,67.5,...,...,...
"Congo, Rep.",2009,Ownership Type,,Domestic,Average,11.6,75.8,...,0.0,0.7,...,...,68.1,...,14.5,53.9,...,...,...
"Congo, Rep.",2009,Ownership Type,,10% or more foreign ownership,Average,19.3,11.0,...,100.0,6.0,...,...,34.5,...,39.6,81.0,...,...,...
Colombia,2006,,,,Average,13.5,98.4,...,1.2,1.5,...,...,33.2,...,5.9,47.2,...,...,...
Colombia,2006,Sector,Manufacturing,All,Average,15.5,98.5,...,2.2,0.0,...,...,40.3,...,4.8,34.9,...,...,...
Colombia,2006,Sector,Manufacturing,Food,Average,16.5,97.9,...,2.1,0.0,...,...,26.8,...,3.2,60.5,...,...,...
Colombia,2006,Sector,Manufacturing,Textiles,Average,15.4,98.7,...,2.2,0.0,...,...,23.9,...,21.6,62.0,...,...,...
Colombia,2006,Sector,Manufacturing,Garments,Average,15.7,100.0,...,0.1,0.0,...,...,8.3,...,2.6,24.0,...,...,...
Colombia,2006,Sector,Manufacturing,Chemicals & Chemical Products,Average,18.9,96.2,...,5.6,0.7,...,...,13.1,...,15.9,54.2,...,...,...
Colombia,2006,Sector,Manufacturing,Rest of Universe-Manufacturing,Average,15.0,98.2,...,2.6,0.0,...,...,56.4,...,3.1,30.6,...,...,...
Colombia,2006,Sector,Services,All,Average,12.3,98.3,...,0.5,2.5,...,...,28.4,...,6.6,55.6,...,...,...
Colombia,2006,Sector,Services,Retail,Average,12.1,96.9,...,0.3,5.5,...,...,26.7,...,1.9,62.6,...,...,...
Colombia,2006,Sector,Services,IT & IT Services,Average,9.6,95.1,...,6.2,0.0,...,...,0.0,...,12.7,48.8,...,...,...
Colombia,2006,Sector,Services,Rest of Universe-Services,Average,12.7,99.7,...,0.1,0.4,...,...,32.0,...,10.0,50.4,...,...,...
Colombia,2006,Size,,Small (5-19),Average,12.3,98.6,...,0.3,2.2,...,...,43.2,...,0.7,54.7,...,...,...
Colombia,2006,Size,,Medium (20-99),Average,14.4,98.8,...,1.6,0.1,...,...,16.7,...,12.3,30.0,...,...,...
Colombia,2006,Size,,Large (100+),Average,25.8,91.5,...,10.2,2.2,...,...,1.3,...,37.8,59.7,...,...,...
Colombia,2006,Location,,Barranquilla,Average,12.8,98.9,...,1.1,0.0,...,...,23.1,...,4.6,37.2,...,...,...
Colombia,2006,Location,,Bogota,Average,12.7,98.0,...,1.1,2.4,...,...,40.9,...,4.6,48.1,...,...,...
Colombia,2006,Location,,Cali,Average,14.7,99.8,...,0.3,0.0,...,...,41.6,...,2.4,45.5,...,...,...
Colombia,2006,Location,,Medellin,Average,16.1,98.4,...,2.1,0.5,...,...,4.6,...,13.9,51.2,...,...,...
Colombia,2006,Exporter Type,,Direct exports are 10% or more of sales,Average,17.9,98.8,...,1.5,0.4,...,...,1.2,...,16.4,34.0,...,...,...
Colombia,2006,Exporter Type,,Non-exporter,Average,13.1,98.3,...,1.1,1.6,...,...,36.2,...,4.9,48.4,...,...,...
Colombia,2006,Ownership Type,,Domestic,Average,13.5,99.2,...,0.0,1.5,...,...,33.6,...,5.5,46.6,...,...,...
Colombia,2006,Ownership Type,,10% or more foreign ownership,Average,18.6,28.1,...,100.0,1.2,...,...,0.0,...,40.1,96.0,...,...,...
Colombia,2010,,,,Average,16.5,91.5,...,12.0,0.3,...,...,5.8,...,20.8,53.5,...,...,...
Colombia,2010,Sector,Manufacturing,All,Average,19.0,89.1,...,20.6,0.0,...,...,2.7,...,34.1,61.3,...,...,...
Colombia,2010,Sector,Manufacturing,Food,Average,23.4,95.1,...,7.7,0.0,...,...,8.3,...,14.8,60.0,...,...,...
